group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x4017a1,0x4017b3,;Iteration not constant;0;Success;32;20;12;20;0;2;
39;LSSSSSSSSSSSSSSSSSLLLLLLLLLLLLLLLLLLLLL;VMOVDQU,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VINSERTF128,VINSERTF128,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VINSERTF128,VMOVUPS,VINSERTF128,VMOVUPS,VINSERTF128,VMOVUPS,VINSERTF128,VMOVUPS,VINSERTF128,VINSERTF128,VMOVDQU,VINSERTF128,VINSERTF128,VMOVUPS,VINSERTF128,;768,80,48,-128,144,112,-32,320,-64,16,-80,-96,928,288,272,256,240,896,80,-128,864,832,800,144,48,320,112,-64,-32,928,16,288,-80,-96,224,272,256,896,240,;0x40152f,0x401564,0x4015b1,0x4015c5,0x4015e4,0x401632,0x401646,0x401666,0x40167d,0x401699,0x4016b5,0x4016cd,0x4016e9,0x401708,0x40173a,0x401759,0x401774,0x4017bd,0x4017c6,0x4017ce,0x4017dc,0x4017e9,0x4017f6,0x40185e,0x401867,0x40186f,0x401878,0x401888,0x40188e,0x4018e7,0x4018f0,0x4018f8,0x401901,0x401909,0x401953,0x40196b,0x401982,0x401991,0x40199a,;Not Analyzed;0;Success;880;512;368;1088;0;1;
1;L;VGATHERQPS,;0,;0x40156e,;Iteration not constant;0;Success;16;16;0;16;0;1;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x4015cf,0x401615,;Iteration not constant;0;Success;32;20;12;20;0;2;
1;L;VGATHERQPS,;0,;0x401693,;Iteration not constant;0;Success;16;16;0;16;0;1;
1;L;VGATHERQPS,;0,;0x401734,;Iteration not constant;0;Success;16;16;0;16;0;1;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x4016ab,0x4016c3,;Iteration not constant;0;Success;32;20;12;20;0;2;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x40174f,0x40176a,;Iteration not constant;0;Success;32;20;12;20;0;2;
1;L;VGATHERQPS,;0,;0x4015de,;Iteration not constant;0;Success;16;16;0;16;0;1;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x40165c,0x401673,;Iteration not constant;0;Success;32;20;12;20;0;2;
1;L;VGATHERQPS,;0,;0x40155e,;Iteration not constant;0;Success;16;16;0;16;0;1;
1;L;VGATHERQPS,;0,;0x4016e3,;Iteration not constant;0;Success;16;16;0;16;0;1;
13;LLLLLLLLLLLLL;VPADDQ,VPADDQ,VPADDQ,VPADDQ,VPADDQ,VPADDQ,VBROADCASTSS,VBROADCASTSS,VBROADCASTSS,VBROADCASTSS,VBROADCASTSS,VMOVDQU,VMOVDQU,;51977,52001,51825,51713,51728,51611,51191,51155,51145,51040,50987,50946,50814,;0x40158f,0x401597,0x401687,0x4016d7,0x401728,0x40177d,0x401808,0x401830,0x40183e,0x40189f,0x4018d4,0x401976,0x4019da,;RIP based value;0;Success;276;251;25;1219;0;1;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x4015bb,0x4015f5,;Iteration not constant;0;Success;32;20;12;20;0;2;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x4016fe,0x40171a,;Iteration not constant;0;Success;32;20;12;20;0;2;
1;L;VGATHERQPS,;0,;0x4015ab,;Iteration not constant;0;Success;16;16;0;16;0;1;
2;LL;VGATHERQPS,VGATHERQPS,;4,8,;0x401628,0x40163c,;Iteration not constant;0;Success;32;20;12;20;0;2;
1;L;VGATHERQPS,;0,;0x40178e,;Iteration not constant;0;Success;16;16;0;16;0;1;
