Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;42.66;0;18520.99;57.34;0;0;0;0;11.66;0;0;
DESKTOP-8JEBTPG;_ALL;_ALL;0;42.66;0;18520.99;57.34;0;0;0;0;11.66;0;0;
DESKTOP-8JEBTPG;2502;_ALL;0;42.66;0;18520.99;57.34;0;0;0;0;11.66;0;0;
DESKTOP-8JEBTPG;2502;2516;0;43.92;0;2302;56.08;0;0;0;0;11.51;0;0;
DESKTOP-8JEBTPG;2502;2515;0;43.29;0;2317;56.71;0;0;0;0;11.58;0;0;
DESKTOP-8JEBTPG;2502;2513;0;42.59;0;2308;57.41;0;0;0;0;11.54;0;0;
DESKTOP-8JEBTPG;2502;2512;0;43.03;0;2333;56.97;0;0;0;0;11.66;0;0;
DESKTOP-8JEBTPG;2502;2517;0;43.26;0;2321;56.74;0;0;0;0;11.6;0;0;
DESKTOP-8JEBTPG;2502;2514;0;41.46;0;2323;58.54;0;0;0;0;11.61;0;0;
DESKTOP-8JEBTPG;2502;2511;0;42.52;0;2307;57.48;0;0;0;0;11.53;0;0;
DESKTOP-8JEBTPG;2502;2502;0;41.21;0;2310;58.79;0;0;0;0;11.55;0;0;
